pitch_type,game_date,release_speed,pitcher,events,description,zone,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,launch_speed_angle
FS,9/8/19,89.2,593576,strikeout,foul_tip,6,R,NYM,PHI,S,2,null,1,2,9,null,null,null,88.54,1702,5.597,null
FS,9/8/19,79.6,453284,field_out,hit_into_play,1,R,NYM,PHI,X,2,popup,2,1,7,9,55.1,89.3,80.457,760,6.553,1
CH,9/8/19,85.3,501625,single,hit_into_play_no_out,9,L,NYM,PHI,X,8,line_drive,0,1,6,224,89.1,14,85.265,2020,6.289,4
FF,9/8/19,93.6,592826,force_out,hit_into_play,4,R,NYM,PHI,X,6,ground_ball,0,0,4,64,79.6,3.2,94.391,2436,6.647,2
KC,9/8/19,81.1,592826,strikeout,called_strike,4,R,NYM,PHI,S,2,null,2,2,1,null,null,null,81.36,2479,6.282,null
FF,9/7/19,92,592767,field_out,hit_into_play,7,L,NYM,PHI,X,8,line_drive,1,1,7,359,97.1,21.4,91.065,2007,5.764,4
FC,9/7/19,85.8,592767,field_out,hit_into_play,7,L,NYM,PHI,X,7,line_drive,0,1,5,293,103.2,16.7,84.891,2080,5.596,5
CU,9/7/19,77,592767,single,hit_into_play_no_out,8,L,NYM,PHI,X,5,ground_ball,1,0,3,42,79.5,1.1,76.978,1960,5.862,2
CU,9/7/19,78.4,592767,double,hit_into_play_no_out,3,L,NYM,PHI,X,7,line_drive,3,2,1,358,108.6,21.1,77.685,1602,5.658,6
FT,9/6/19,94.7,593576,single,hit_into_play_score,7,R,NYM,PHI,X,7,ground_ball,0,0,8,31,89.5,-1.1,93.853,2524,6.151,2
SI,9/6/19,91,453172,strikeout,swinging_strike,13,R,NYM,PHI,S,2,null,0,2,6,null,null,null,90.767,1927,6.614,null
CH,9/6/19,87.6,621107,strikeout_double_play,swinging_strike,13,R,NYM,PHI,S,2,null,3,2,3,null,null,null,87.69,1817,6.814,null
FT,9/6/19,93.9,621107,strikeout,swinging_strike,13,R,NYM,PHI,S,2,null,3,2,1,null,null,null,93.285,2177,6.088,null
FT,9/4/19,95.4,407845,field_out,hit_into_play,4,R,WSH,NYM,X,6,ground_ball,3,1,8,13,97.5,-10.2,95.214,2069,5.948,2
FF,9/4/19,96.6,519326,field_out,hit_into_play,13,R,WSH,NYM,X,3,popup,0,1,6,null,80,69,95.02,2180,5.543,3
FS,9/4/19,86.5,434671,home_run,hit_into_play_score,7,R,WSH,NYM,X,null,fly_ball,0,0,5,408,106.3,32.3,86.391,1899,5.982,6
FC,9/4/19,88.5,434671,field_out,hit_into_play,2,R,WSH,NYM,X,9,fly_ball,0,0,3,245,94.3,56.2,88.76,2215,5.874,3
SL,9/4/19,84.8,434671,field_out,hit_into_play,5,R,WSH,NYM,X,8,fly_ball,1,1,1,366,105.3,41.3,84.601,2471,5.836,5
FF,9/3/19,95.6,543339,home_run,hit_into_play_score,12,R,WSH,NYM,X,null,fly_ball,0,2,9,427,110.9,19.2,95.506,2360,6.176,6
CH,9/3/19,86.9,606273,single,hit_into_play_no_out,13,L,WSH,NYM,X,7,line_drive,2,2,8,272,110.8,14.5,86.042,2120,5.752,6
